Code poste,Catégorie,Interne CAD,Apparenté CAD,Externe CAD,Total CAD,Notes
01,Productrice / Producteur,12356,0,0,12356,
02,Achat de droits,0,0,3000,3000,
03,Préparation de la présentation du projet,500,0,1000,1500,
04,Postes clés,0,5600,18200,23800,
05,Main-d'œuvre de la conception,0,0,20730,20730,
06,Main-d'œuvre de la programmation,0,0,31800,31800,
07,Main-d'œuvre audio / vidéo,0,0,0,0,
08,Artistes,0,0,0,0,
09,Main-d'œuvre de l'administration,1500,0,0,1500,
10,Autre main-d'œuvre,0,2500,0,2500,
11,Matériel et fournitures,0,0,1540,1540,
12,Matériel et fournitures audio / vidéo,0,0,500,500,
13,Mise en marché et exploitation,0,0,0,0,
14,Promotion et publicité,0,0,0,0,
15,Administration,0,0,5450,5450,
F,Frais d'administration,12356,0,0,12356,
G,Imprévus,0,0,3295,3295,
,GRAND TOTAL CANADIEN,,,,120327,Doit égaler 120 327 CAD
