Pays,Coproducteur,Source de financement,Montant EUR,Montant CAD,Statut (A/P),Notes
QC,SODEC,Volet 2 - Projets narratifs numériques formats courts,71277,115000,Acquis,
QC,JAXA Production,Part producteur (investissement),3301.24,5326.3,Acquis,
FR,Dark Euphoria,CNC Création Immersive — aide à la préproduction,50000.0,80675,Acquis,
FR,Dark Euphoria,Région SUD PACA - aide au développement,13000.0,20975.5,Acquis,
FR,Dark Euphoria,Dark Euphoria (apport),23945.0,38635.2575,Acquis,
FR,Dark Euphoria,Voulez-Vous (apport),5000.0,8067.5,Acquis,
FR,Dark Euphoria,ArtZoyd (participation),8100.0,13069.35,Acquis,
FR,Dark Euphoria,Diffuseurs (SIANA),5000.0,8067.5,Acquis,
FR,Dark Euphoria,Pictanovo - aide à la production,12000.0,19362,Acquis,Lettre à fournir
FR,Dark Euphoria,Chroniques (participation),25000.0,40337.5,Acquis,
FR,Dark Euphoria,Le Grenier à Sel (participation),8000.0,12908,Acquis,
FR,Dark Euphoria,Métropole Montpellier Méditerranée,15000.0,24202.5,Acquis,
FR,Dark Euphoria,Région SUD PACA - aide à la production,20000.0,32270,Acquis,
FR,Dark Euphoria,CNC Création Immersive - aide à la production,40000.0,64540,Acquis,Modifié + Lettre à fournir
FR,Dark Euphoria,Dark Euphoria (apport production),37840.0,61054.84,Acquis,
FR,Dark Euphoria,Voulez-Vous (apport production),45000.0,72607.5,Acquis,Modifié + lettre investissement à mettre à jour
FR,Dark Euphoria,Le Safran,2500.0,4033.75,Acquis,Modifié + Lettre à fournir
FR,Dark Euphoria,Diffuseurs (TBD),17500.0,28236.25,Pressenti,
LU,Poulpe Bleu,Filmfund Luxembourg (développement),45000.0,72607.5,Acquis,
LU,Poulpe Bleu,Poulpe Bleu - Part Producteur (développement),805.0,1298.8675,Acquis,
LU,Poulpe Bleu,Filmfund Luxembourg AFS production,167196.0,269770.746,Pressenti,En attente mi-mai
LU,Poulpe Bleu,Poulpe Bleu - Part Producteur (production),3000.0,4840.5,Acquis,

,,TOTAL QUÉBEC,,120326.3,,
,,TOTAL FRANCE,,529042.45,,
,,TOTAL LUXEMBOURG,,348517.61,,
,,GRAND TOTAL,,997886.36,,
